Position	26.11_10.07_184.1C_496_9.26_1.00_1.3*10-6_402
	184.1C_496_402
-6.999	0.09
-6.997	0.09
-6.996	0.09
-6.995	0.09
-6.993	0.09
-6.991	0.09
-6.99	0.09
-6.989	0.09
-6.987	0.08
-6.985	0.09
-6.984	0.09
-6.983	0.09
-6.981	0.09
-6.979	0.09
-6.978	0.09
-6.977	0.09
-6.975	0.09
-6.973	0.09
-6.972	0.08
-6.97	0.09
-6.969	0.09
-6.968	0.09
-6.966	0.09
-6.964	0.09
-6.963	0.09
-6.962	0.09
-6.96	0.09
-6.958	0.09
-6.957	0.09
-6.956	0.09
-6.954	0.09
-6.952	0.09
-6.951	0.09
-6.95	0.09
-6.948	0.09
-6.946	0.09
-6.945	0.09
-6.944	0.09
-6.942	0.09
-6.94	0.09
-6.939	0.09
-6.938	0.09
-6.936	0.09
-6.935	0.09
-6.933	0.09
-6.931	0.09
-6.93	0.09
-6.929	0.09
-6.927	0.09
-6.925	0.09
-6.924	0.09
-6.923	0.09
-6.921	0.09
-6.919	0.09
-6.918	0.09
-6.917	0.09
-6.915	0.09
-6.913	0.09
-6.912	0.09
-6.911	0.09
-6.909	0.09
-6.907	0.09
-6.906	0.09
-6.905	0.09
-6.903	0.09
-6.902	0.09
-6.9	0.09
-6.898	0.09
-6.897	0.09
-6.896	0.09
-6.894	0.09
-6.892	0.09
-6.891	0.1
-6.89	0.09
-6.888	0.09
-6.886	0.09
-6.885	0.09
-6.884	0.09
-6.882	0.09
-6.88	0.09
-6.879	0.1
-6.878	0.09
-6.876	0.09
-6.874	0.09
-6.873	0.09
-6.872	0.09
-6.87	0.09
-6.869	0.09
-6.867	0.1
-6.865	0.09
-6.864	0.09
-6.863	0.09
-6.861	0.09
-6.859	0.09
-6.858	0.09
-6.857	0.09
-6.855	0.09
-6.853	0.09
-6.852	0.09
-6.851	0.09
-6.849	0.09
-6.847	0.09
-6.846	0.09
-6.845	0.09
-6.843	0.08
-6.841	0.09
-6.84	0.09
-6.839	0.09
-6.837	0.09
-6.835	0.09
-6.834	0.09
-6.832	0.09
-6.831	0.09
-6.83	0.09
-6.828	0.09
-6.826	0.09
-6.825	0.09
-6.824	0.09
-6.822	0.09
-6.82	0.09
-6.819	0.09
-6.818	0.1
-6.816	0.09
-6.814	0.09
-6.813	0.09
-6.812	0.09
-6.81	0.09
-6.808	0.09
-6.807	0.09
-6.806	0.09
-6.804	0.1
-6.802	0.09
-6.801	0.09
-6.799	0.09
-6.798	0.1
-6.797	0.1
-6.795	0.09
-6.793	0.09
-6.792	0.09
-6.791	0.09
-6.789	0.09
-6.787	0.09
-6.786	0.09
-6.785	0.09
-6.783	0.1
-6.781	0.09
-6.78	0.09
-6.779	0.09
-6.777	0.09
-6.775	0.09
-6.774	0.09
-6.773	0.09
-6.771	0.09
-6.769	0.09
-6.768	0.09
-6.766	0.09
-6.765	0.09
-6.764	0.09
-6.762	0.09
-6.76	0.09
-6.759	0.09
-6.758	0.1
-6.756	0.1
-6.754	0.09
-6.753	0.09
-6.752	0.09
-6.75	0.1
-6.748	0.1
-6.747	0.09
-6.746	0.09
-6.744	0.09
-6.742	0.1
-6.741	0.1
-6.74	0.09
-6.738	0.09
-6.736	0.09
-6.735	0.09
-6.734	0.09
-6.732	0.09
-6.731	0.09
-6.729	0.1
-6.727	0.09
-6.726	0.1
-6.725	0.1
-6.723	0.09
-6.721	0.1
-6.72	0.1
-6.719	0.09
-6.717	0.09
-6.715	0.1
-6.714	0.09
-6.713	0.1
-6.711	0.1
-6.709	0.09
-6.708	0.09
-6.707	0.1
-6.705	0.1
-6.703	0.09
-6.702	0.09
-6.701	0.09
-6.699	0.1
-6.698	0.1
-6.696	0.1
-6.694	0.09
-6.693	0.1
-6.692	0.1
-6.69	0.1
-6.688	0.1
-6.687	0.1
-6.686	0.1
-6.684	0.09
-6.682	0.1
-6.681	0.1
-6.68	0.1
-6.678	0.1
-6.676	0.1
-6.675	0.1
-6.674	0.1
-6.672	0.1
-6.67	0.1
-6.669	0.1
-6.668	0.1
-6.666	0.1
-6.665	0.1
-6.663	0.1
-6.661	0.1
-6.66	0.1
-6.659	0.1
-6.657	0.1
-6.655	0.1
-6.654	0.1
-6.653	0.1
-6.651	0.1
-6.649	0.1
-6.648	0.1
-6.647	0.1
-6.645	0.1
-6.643	0.1
-6.642	0.1
-6.641	0.1
-6.639	0.1
-6.637	0.1
-6.636	0.11
-6.635	0.1
-6.633	0.1
-6.631	0.1
-6.63	0.1
-6.628	0.1
-6.627	0.1
-6.626	0.1
-6.624	0.1
-6.622	0.1
-6.621	0.1
-6.62	0.1
-6.618	0.1
-6.616	0.1
-6.615	0.1
-6.614	0.1
-6.612	0.1
-6.61	0.1
-6.609	0.1
-6.608	0.1
-6.606	0.1
-6.604	0.1
-6.603	0.11
-6.602	0.1
-6.6	0.1
-6.598	0.1
-6.597	0.1
-6.595	0.1
-6.594	0.1
-6.593	0.1
-6.591	0.1
-6.589	0.11
-6.588	0.1
-6.587	0.1
-6.585	0.1
-6.583	0.1
-6.582	0.1
-6.581	0.1
-6.579	0.11
-6.577	0.1
-6.576	0.1
-6.575	0.1
-6.573	0.1
-6.571	0.1
-6.57	0.1
-6.569	0.1
-6.567	0.1
-6.565	0.11
-6.564	0.1
-6.563	0.1
-6.561	0.1
-6.56	0.1
-6.558	0.1
-6.556	0.1
-6.555	0.1
-6.554	0.1
-6.552	0.1
-6.55	0.1
-6.549	0.1
-6.548	0.1
-6.546	0.1
-6.544	0.1
-6.543	0.1
-6.542	0.11
-6.54	0.1
-6.538	0.1
-6.537	0.1
-6.536	0.1
-6.534	0.1
-6.532	0.1
-6.531	0.11
-6.53	0.1
-6.528	0.1
-6.527	0.1
-6.525	0.1
-6.523	0.1
-6.522	0.1
-6.521	0.1
-6.519	0.1
-6.517	0.1
-6.516	0.11
-6.515	0.1
-6.513	0.1
-6.511	0.1
-6.51	0.1
-6.509	0.1
-6.507	0.1
-6.505	0.1
-6.504	0.1
-6.503	0.1
-6.501	0.1
-6.499	0.1
-6.498	0.1
-6.497	0.1
-6.495	0.1
-6.494	0.1
-6.492	0.1
-6.49	0.1
-6.489	0.1
-6.488	0.1
-6.486	0.1
-6.484	0.1
-6.483	0.1
-6.482	0.1
-6.48	0.1
-6.478	0.1
-6.477	0.1
-6.476	0.1
-6.474	0.11
-6.472	0.1
-6.471	0.1
-6.47	0.1
-6.468	0.1
-6.466	0.11
-6.465	0.11
-6.464	0.1
-6.462	0.1
-6.46	0.1
-6.459	0.1
-6.457	0.11
-6.456	0.1
-6.455	0.1
-6.453	0.1
-6.451	0.11
-6.45	0.11
-6.449	0.1
-6.447	0.11
-6.445	0.1
-6.444	0.1
-6.443	0.11
-6.441	0.11
-6.439	0.11
-6.438	0.11
-6.437	0.11
-6.435	0.11
-6.433	0.11
-6.432	0.1
-6.431	0.11
-6.429	0.11
-6.427	0.11
-6.426	0.11
-6.424	0.1
-6.423	0.11
-6.422	0.11
-6.42	0.11
-6.418	0.11
-6.417	0.1
-6.416	0.11
-6.414	0.1
-6.412	0.1
-6.411	0.11
-6.41	0.1
-6.408	0.1
-6.406	0.11
-6.405	0.11
-6.404	0.11
-6.402	0.11
-6.4	0.11
-6.399	0.11
-6.398	0.11
-6.396	0.11
-6.394	0.11
-6.393	0.11
-6.391	0.11
-6.39	0.11
-6.389	0.11
-6.387	0.11
-6.385	0.11
-6.384	0.11
-6.383	0.11
-6.381	0.11
-6.379	0.11
-6.378	0.11
-6.377	0.1
-6.375	0.11
-6.373	0.11
-6.372	0.11
-6.371	0.11
-6.369	0.11
-6.367	0.11
-6.366	0.11
-6.365	0.11
-6.363	0.11
-6.361	0.11
-6.36	0.11
-6.359	0.11
-6.357	0.11
-6.356	0.11
-6.354	0.11
-6.352	0.11
-6.351	0.11
-6.35	0.11
-6.348	0.11
-6.346	0.11
-6.345	0.11
-6.344	0.11
-6.342	0.11
-6.34	0.11
-6.339	0.1
-6.338	0.11
-6.336	0.11
-6.334	0.11
-6.333	0.11
-6.332	0.11
-6.33	0.11
-6.328	0.11
-6.327	0.11
-6.326	0.11
-6.324	0.11
-6.323	0.11
-6.321	0.11
-6.319	0.11
-6.318	0.11
-6.317	0.11
-6.315	0.11
-6.313	0.11
-6.312	0.1
-6.311	0.11
-6.309	0.11
-6.307	0.11
-6.306	0.11
-6.305	0.11
-6.303	0.11
-6.301	0.11
-6.3	0.11
-6.299	0.11
-6.297	0.11
-6.295	0.11
-6.294	0.11
-6.293	0.11
-6.291	0.11
-6.29	0.11
