Position	26.11_10.48_186.5C_495_9.25_1.00_1.0*10-6_700
	186.5C_495_700
-6.999	0.15
-6.997	0.15
-6.996	0.15
-6.995	0.14
-6.993	0.15
-6.991	0.15
-6.99	0.15
-6.989	0.15
-6.987	0.15
-6.985	0.15
-6.984	0.14
-6.983	0.15
-6.981	0.15
-6.979	0.15
-6.978	0.15
-6.977	0.15
-6.975	0.15
-6.973	0.15
-6.972	0.15
-6.97	0.15
-6.969	0.15
-6.968	0.15
-6.966	0.15
-6.964	0.15
-6.963	0.15
-6.962	0.16
-6.96	0.15
-6.958	0.15
-6.957	0.15
-6.956	0.15
-6.954	0.15
-6.952	0.15
-6.951	0.15
-6.95	0.15
-6.948	0.15
-6.946	0.15
-6.945	0.15
-6.944	0.15
-6.942	0.15
-6.94	0.15
-6.939	0.15
-6.938	0.15
-6.936	0.15
-6.935	0.15
-6.933	0.15
-6.931	0.15
-6.93	0.15
-6.929	0.15
-6.927	0.15
-6.925	0.15
-6.924	0.15
-6.923	0.15
-6.921	0.15
-6.919	0.15
-6.918	0.15
-6.917	0.15
-6.915	0.15
-6.913	0.15
-6.912	0.15
-6.911	0.15
-6.909	0.15
-6.907	0.15
-6.906	0.15
-6.905	0.15
-6.903	0.15
-6.902	0.15
-6.9	0.15
-6.898	0.15
-6.897	0.15
-6.896	0.15
-6.894	0.15
-6.892	0.15
-6.891	0.15
-6.89	0.15
-6.888	0.15
-6.886	0.15
-6.885	0.15
-6.884	0.15
-6.882	0.15
-6.88	0.15
-6.879	0.15
-6.878	0.15
-6.876	0.15
-6.874	0.15
-6.873	0.15
-6.872	0.15
-6.87	0.15
-6.869	0.15
-6.867	0.15
-6.865	0.15
-6.864	0.15
-6.863	0.15
-6.861	0.15
-6.859	0.15
-6.858	0.15
-6.857	0.15
-6.855	0.15
-6.853	0.15
-6.852	0.15
-6.851	0.15
-6.849	0.15
-6.847	0.15
-6.846	0.15
-6.845	0.15
-6.843	0.15
-6.841	0.15
-6.84	0.15
-6.839	0.15
-6.837	0.15
-6.835	0.15
-6.834	0.16
-6.832	0.15
-6.831	0.16
-6.83	0.15
-6.828	0.15
-6.826	0.15
-6.825	0.15
-6.824	0.15
-6.822	0.15
-6.82	0.15
-6.819	0.15
-6.818	0.15
-6.816	0.15
-6.814	0.15
-6.813	0.15
-6.812	0.15
-6.81	0.15
-6.808	0.15
-6.807	0.15
-6.806	0.15
-6.804	0.16
-6.802	0.16
-6.801	0.15
-6.799	0.15
-6.798	0.15
-6.797	0.15
-6.795	0.15
-6.793	0.15
-6.792	0.15
-6.791	0.15
-6.789	0.15
-6.787	0.15
-6.786	0.16
-6.785	0.15
-6.783	0.16
-6.781	0.15
-6.78	0.15
-6.779	0.15
-6.777	0.15
-6.775	0.15
-6.774	0.15
-6.773	0.15
-6.771	0.15
-6.769	0.16
-6.768	0.16
-6.766	0.15
-6.765	0.15
-6.764	0.15
-6.762	0.15
-6.76	0.15
-6.759	0.15
-6.758	0.15
-6.756	0.15
-6.754	0.15
-6.753	0.15
-6.752	0.15
-6.75	0.16
-6.748	0.15
-6.747	0.16
-6.746	0.15
-6.744	0.15
-6.742	0.15
-6.741	0.15
-6.74	0.16
-6.738	0.15
-6.736	0.15
-6.735	0.15
-6.734	0.15
-6.732	0.15
-6.731	0.16
-6.729	0.16
-6.727	0.15
-6.726	0.15
-6.725	0.16
-6.723	0.15
-6.721	0.15
-6.72	0.15
-6.719	0.15
-6.717	0.15
-6.715	0.16
-6.714	0.16
-6.713	0.16
-6.711	0.15
-6.709	0.16
-6.708	0.16
-6.707	0.16
-6.705	0.16
-6.703	0.16
-6.702	0.16
-6.701	0.16
-6.699	0.16
-6.698	0.16
-6.696	0.16
-6.694	0.16
-6.693	0.16
-6.692	0.16
-6.69	0.16
-6.688	0.16
-6.687	0.16
-6.686	0.16
-6.684	0.16
-6.682	0.16
-6.681	0.16
-6.68	0.16
-6.678	0.16
-6.676	0.16
-6.675	0.16
-6.674	0.16
-6.672	0.16
-6.67	0.16
-6.669	0.16
-6.668	0.16
-6.666	0.16
-6.665	0.16
-6.663	0.16
-6.661	0.16
-6.66	0.16
-6.659	0.16
-6.657	0.16
-6.655	0.16
-6.654	0.16
-6.653	0.16
-6.651	0.16
-6.649	0.16
-6.648	0.16
-6.647	0.16
-6.645	0.16
-6.643	0.16
-6.642	0.16
-6.641	0.16
-6.639	0.16
