Position	26.11_10.07_184.1C_496_9.26_1.00_1.3*10-6
-6.472	0.08
-6.471	0.08
-6.47	0.08
-6.468	0.08
-6.466	0.08
-6.465	0.08
-6.464	0.08
-6.462	0.08
-6.46	0.08
-6.459	0.08
-6.457	0.08
-6.456	0.07
-6.455	0.08
-6.453	0.08
-6.451	0.08
-6.45	0.08
-6.449	0.08
-6.447	0.08
-6.445	0.08
-6.444	0.08
-6.443	0.08
-6.441	0.08
-6.439	0.08
-6.438	0.08
-6.437	0.08
-6.435	0.08
-6.433	0.08
-6.432	0.08
-6.431	0.08
-6.429	0.08
-6.427	0.08
-6.426	0.08
-6.424	0.08
-6.423	0.08
-6.422	0.08
-6.42	0.08
-6.418	0.08
-6.417	0.08
-6.416	0.08
-6.414	0.08
-6.412	0.09
-6.411	0.08
-6.41	0.08
-6.408	0.08
-6.406	0.08
-6.405	0.08
-6.404	0.08
-6.402	0.08
-6.4	0.09
-6.399	0.08
-6.398	0.08
-6.396	0.08
-6.394	0.08
-6.393	0.08
-6.391	0.08
-6.39	0.08
-6.389	0.09
-6.387	0.08
-6.385	0.08
-6.384	0.08
-6.383	0.09
-6.381	0.08
-6.379	0.08
-6.378	0.08
-6.377	0.08
-6.375	0.08
-6.373	0.09
-6.372	0.08
-6.371	0.09
-6.369	0.08
-6.367	0.08
-6.366	0.08
-6.365	0.09
-6.363	0.09
-6.361	0.09
-6.36	0.09
-6.359	0.09
-6.357	0.09
-6.356	0.09
-6.354	0.08
-6.352	0.08
-6.351	0.09
-6.35	0.09
-6.348	0.09
-6.346	0.08
-6.345	0.09
-6.344	0.09
-6.342	0.09
-6.34	0.09
-6.339	0.09
-6.338	0.09
-6.336	0.09
-6.334	0.08
-6.333	0.09
-6.332	0.09
-6.33	0.09
-6.328	0.09
-6.327	0.09
-6.326	0.09
-6.324	0.09
-6.323	0.09
-6.321	0.09
-6.319	0.09
-6.318	0.09
-6.317	0.09
-6.315	0.08
-6.313	0.09
-6.312	0.09
-6.311	0.09
-6.309	0.08
-6.307	0.09
-6.306	0.09
-6.305	0.09
-6.303	0.09
-6.301	0.09
-6.3	0.09
-6.299	0.09
-6.297	0.09
-6.295	0.09
-6.294	0.09
-6.293	0.09
-6.291	0.09
-6.29	0.09
-6.288	0.09
-6.286	0.09
-6.285	0.09
-6.284	0.09
-6.282	0.09
-6.28	0.09
-6.279	0.09
-6.278	0.09
-6.276	0.09
-6.274	0.09
-6.273	0.09
-6.272	0.09
-6.27	0.09
-6.268	0.09
-6.267	0.09
-6.266	0.09
-6.264	0.09
-6.262	0.09
-6.261	0.09
-6.26	0.09
-6.258	0.09
-6.256	0.09
-6.255	0.09
-6.253	0.09
-6.252	0.09
-6.251	0.09
-6.249	0.09
-6.247	0.09
-6.246	0.09
-6.245	0.09
-6.243	0.09
-6.241	0.09
-6.24	0.09
-6.239	0.09
-6.237	0.09
-6.235	0.09
-6.234	0.09
-6.233	0.09
-6.231	0.09
-6.229	0.09
-6.228	0.09
-6.227	0.09
-6.225	0.09
-6.223	0.09
-6.222	0.09
-6.22	0.09
-6.219	0.09
-6.218	0.09
-6.216	0.09
-6.214	0.09
-6.213	0.09
-6.212	0.09
-6.21	0.09
-6.208	0.09
-6.207	0.1
-6.206	0.09
-6.204	0.09
-6.202	0.09
-6.201	0.09
-6.2	0.09
-6.198	0.09
-6.196	0.09
-6.195	0.08
-6.194	0.09
-6.192	0.09
-6.19	0.09
-6.189	0.09
-6.188	0.09
-6.186	0.09
-6.185	0.09
-6.183	0.09
-6.181	0.09
-6.18	0.09
-6.179	0.09
-6.177	0.09
-6.175	0.09
-6.174	0.09
-6.173	0.09
-6.171	0.09
-6.169	0.09
-6.168	0.09
-6.167	0.09
-6.165	0.09
-6.163	0.09
-6.162	0.09
-6.161	0.09
-6.159	0.1
-6.157	0.09
-6.156	0.09
-6.155	0.09
-6.153	0.09
-6.152	0.09
-6.15	0.09
-6.148	0.09
-6.147	0.08
-6.146	0.09
-6.144	0.09
-6.142	0.09
-6.141	0.09
-6.14	0.09
-6.138	0.09
-6.136	0.09
